Time SN:702643 (S30X):CH0,SN:702643 (S30X):CH0 bar
2020-09-03 19:13:55.668,0.0364799
2020-09-03 19:14:05.679,0.3402481
2020-09-03 19:14:15.673,0.3014412
2020-09-03 19:14:25.668,0.280014
2020-09-03 19:14:35.663,0.2490349
2020-09-03 19:14:45.674,0.2204056
2020-09-03 19:14:55.669,0.2085114
2020-09-03 19:15:05.665,0.1892738
2020-09-03 19:15:15.675,0.17600629999999998
2020-09-03 19:15:25.670,0.162365
2020-09-03 19:15:35.664,0.1486969
2020-09-03 19:15:45.675,0.1457214
2020-09-03 19:15:55.670,0.1481438
2020-09-03 19:16:05.664,0.1421509
2020-09-03 19:16:15.675,0.1501846
2020-09-03 19:16:25.670,0.1448784
2020-09-03 19:16:35.665,0.14564129999999997
2020-09-03 19:16:45.675,0.1472206
2020-09-03 19:16:55.670,0.14207460000000002
2020-09-03 19:17:05.665,0.1379852
2020-09-03 19:17:15.676,0.2472496
2020-09-03 19:17:25.660,0.1310806
2020-09-03 19:17:35.670,0.12553019999999998
2020-09-03 19:17:45.665,0.1283607
2020-09-03 19:17:55.676,0.11991120000000001
2020-09-03 19:18:05.675,0.10840610000000002
2020-09-03 19:18:15.670,0.1175461
2020-09-03 19:18:25.665,0.1100845
2020-09-03 19:18:35.676,0.12655639999999999
2020-09-03 19:18:45.671,0.134491
2020-09-03 19:18:55.666,0.1475105
2020-09-03 19:19:05.677,0.1520309
2020-09-03 19:19:15.672,0.1536255
2020-09-03 19:19:25.667,0.1599922
2020-09-03 19:19:35.678,0.167675
2020-09-03 19:19:45.673,0.1627235
2020-09-03 19:19:55.668,0.1646461
2020-09-03 19:20:05.679,0.1575508
2020-09-03 19:20:15.674,0.1567574
2020-09-03 19:20:25.669,0.16576770000000002
2020-09-03 19:20:35.680,0.1644745
2020-09-03 19:20:45.675,0.18146510000000002
2020-09-03 19:20:55.670,0.16544720000000002
2020-09-03 19:21:05.681,0.1714401
2020-09-03 19:21:15.676,0.1710472
2020-09-03 19:21:25.670,0.1770401
2020-09-03 19:21:35.681,0.1789703
2020-09-03 19:21:45.676,0.1870461
2020-09-03 19:21:55.671,0.18723299999999998
2020-09-03 19:22:05.682,0.1901016
2020-09-03 19:22:15.677,0.1914101
2020-09-03 19:22:25.672,0.1949158
2020-09-03 19:22:35.682,0.19323729999999997
2020-09-03 19:22:45.677,0.2019005
2020-09-03 19:22:55.672,0.202095
2020-09-03 19:23:05.667,0.2055931
2020-09-03 19:23:15.678,0.20882420000000002
2020-09-03 19:23:25.673,0.19774629999999999
2020-09-03 19:23:35.668,0.2027473
2020-09-03 19:23:45.679,0.2091904
2020-09-03 19:23:55.674,0.2052879
2020-09-03 19:24:05.669,0.2108078
2020-09-03 19:24:15.680,0.21455
2020-09-03 19:24:25.675,0.2097549
2020-09-03 19:24:35.669,0.2191505
2020-09-03 19:24:45.680,0.2171478
2020-09-03 19:24:55.676,0.2120438
2020-09-03 19:25:05.670,0.2265015
2020-09-03 19:25:15.681,0.23258209999999999
2020-09-03 19:25:25.676,0.24028779999999997
2020-09-03 19:25:35.671,0.2532158
2020-09-03 19:25:45.682,0.25626370000000004
